#经济
PLA_gjswayh_dynamic_modifier = {
	icon = GFX_idea_PLA_yujieco
	air_bombing_targetting = kongjunfazhan02 #对地轰炸瞄准（百分比，正数为buff）
	air_range_factor = kongjunfazhan03 #空军航程（百分比，正数为buff）
	air_wing_xp_loss_when_killed_factor = kongjunfazhan04 #空军联队受损时失去的经验（百分比，负数为buff）
	air_ace_generation_chance_factor = kongjunfazhan05 #王牌飞行员产生几率（百分比，正数为buff）
	air_superiority_detect_factor = kongjunfazhan06 #战斗机探测（百分比，正数为buff）
	air_strategic_bomber_bombing_factor = kongjunfazhan07 #战略轰炸（百分比，正数为buff）
	air_superiority_efficiency = kongjunfazhan08 #夺取制空权任务效率（百分比，正数为buff）
	air_escort_efficiency = kongjunfazhan09 #空军护航效率（百分比，正数为buff）
	air_intercept_efficiency = kongjunfazhan10 #拦截任务效率（百分比，正数为buff）
	air_cas_efficiency = kongjunfazhan11 #密接支援任务效率（百分比，正数为buff）
	air_mission_efficiency = kongjunfazhan12 #空军任务效率（百分比，正数为buff）
	experience_gain_air = kongjunfazhan13 #空军经验增长（每日，固定值，小数，正数为buff）
	experience_gain_air_factor = kongjunfazhan14 #空军经验增长（百分比，正数为buff）
	air_training_xp_gain_factor = kongjunfazhan15 #空军联队训练经验增长（百分比，正数为buff）
	air_accidents_factor = kongjunfazhan16 #空军事故几率（百分比，负数为buff）
	air_attack_factor = kongjunfazhan17 #对空攻击（百分比，正数为buff）
	air_agility_factor = kongjunfazhan18 #机动（百分比，正数为buff）
	air_untrained_pilots_penalty_factor = kongjunfazhan19 #新空军联队未经训练的飞行员惩罚（百分比，负数为buff）
	army_bonus_air_superiority_factor = kongjunfazhan20 #制空权（百分比，正数为buff）
	air_night_penalty = kongjunfazhan21 #夜间行动惩罚（百分比，负数为buff）
	air_weather_penalty = kongjunfazhan22 #恶劣天气惩罚（百分比，负数为buff）
}
#农轻重
var_PLA_dynamic_modifier = {
	icon = GFX_idea_PLA_yujieco
	production_speed_industrial_complex_factor  = var_PLA_factory_psi #民工速度
	consumer_goods_factor = var_PLA_cg #消费品
	production_speed_buildings_factor  = var_PLA_builspe  #建造速度
	production_speed_arms_factory_factor = var_PLA_psa #军工速度
	industrial_capacity_factory = var_PLA_ic #工厂产出
	stability_factor = var_PLA_sta  #增加稳定
	conscription_factor = var_PLA_confa #百分比减少兵
	conscription_factor = var_PLA_qgy_confa #百分比减少兵
	conscription_factor = var_PLA_zgy_confa #百分比减少兵
	local_resources_factor = var_PLA_res #资源开采
}
